date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-12-30,464,1565,429,63259193,413
2025-12-31,463,1572,450,66905076,371
2026-01-01,324,1503,418,65484229,293
2026-01-02,389,1606,445,65099943,357
2026-01-03,340,1297,360,51027881,322
2026-01-04,330,1134,314,32689059,319
2026-01-05,217,1271,267,29579856,211
2026-01-06,76,239,87,10954348,70
2026-01-07,41,118,46,5797440,38
2026-01-08,95,309,116,11263846,85
2026-01-09,148,666,205,19932886,146
2026-01-10,360,1199,359,44788010,340
2026-01-11,299,970,311,38353708,297
2026-01-12,132,337,164,12588700,126
2026-01-13,104,306,134,9076790,98
2026-01-14,97,272,121,9095852,89
2026-01-15,74,241,130,7632149,72
2026-01-16,178,865,252,25783621,173
2026-01-17,282,905,282,32922248,274
2026-01-18,184,551,190,19520102,177
2026-01-19,125,498,207,16604679,122
2026-01-20,111,497,179,15445803,107
2026-01-21,117,368,169,13160461,111
2026-01-22,124,390,191,14307225,122
2026-01-23,211,807,297,26480340,205
2026-01-24,244,940,281,34889982,239
2026-01-25,151,617,223,17923466,144
2026-01-26,85,313,165,10458939,83
2026-01-27,98,490,182,14853288,93
2026-01-28,79,369,129,9608390,77
2026-01-29,95,306,163,10784779,90
2026-01-30,133,552,206,17002438,128
2026-01-31,194,815,203,29257147,194
2026-02-01,108,561,196,16864640,103
2026-02-02,62,255,142,9460879,61
2026-02-03,54,149,95,3624999,50
2026-02-04,79,326,155,12082342,78
2026-02-05,83,261,116,9641474,76
2026-02-06,127,625,212,19598833,123
2026-02-07,232,961,262,36357873,225
2026-02-08,121,564,224,16030646,115
2026-02-09,82,431,188,12309984,81
2026-02-10,119,485,180,13807669,118
2026-02-11,101,310,131,10576686,94
2026-02-12,78,404,164,11771722,77
2026-02-13,114,652,234,19089841,109
2026-02-14,183,826,242,31532557,175
2026-02-15,105,503,208,18460216,103
2026-02-16,87,450,224,12936770,84
2026-02-17,76,437,181,11965043,71
2026-02-18,63,484,209,13152355,58
2026-02-19,80,450,221,15111528,78
2026-02-20,137,783,284,22718008,130
2026-02-21,301,1034,290,38393868,285
2026-02-22,201,847,253,33335720,200
2026-02-23,82,348,183,11190653,77
2026-02-24,74,398,159,10212666,70
2026-02-25,52,370,155,9559188,49
2026-02-26,70,226,148,6912469,64
2026-02-27,80,469,229,13755476,79
2026-02-28,160,734,206,23875645,158
2026-03-01,54,259,132,7581055,50
2026-03-02,31,122,83,2987138,27
2026-03-03,28,175,110,4269684,26
2026-03-04,19,110,93,2328494,19
2026-03-05,45,331,165,8323947,43
2026-03-06,100,528,189,15551736,96
2026-03-07,124,665,220,22132869,123
2026-03-08,82,297,159,9474320,78
2026-03-09,54,235,137,5742388,51
2026-03-10,40,231,134,5493292,34
2026-03-11,52,345,160,8628357,50
2026-03-12,61,567,205,14538880,54
2026-03-13,100,787,237,22797906,97
2026-03-14,143,603,193,20674189,140
2026-03-15,76,321,160,9663029,75
2026-03-16,56,242,143,6653355,51
2026-03-17,41,136,93,4592228,40
2026-03-18,55,232,148,6323435,49
2026-03-19,123,404,174,13070055,117
2026-03-20,215,791,237,27429519,194
2026-03-21,109,688,163,17792060,107
2026-03-22,60,249,111,6760124,59
2026-03-23,36,180,121,3325207,28
2026-03-24,26,134,87,3185685,26
2026-03-25,36,144,96,4276092,32
2026-03-26,85,312,140,8437646,74
2026-03-27,135,578,217,14227436,120
2026-03-28,146,537,191,19658166,136
2026-03-29,126,518,204,14200438,120
2026-03-30,55,283,157,6764117,51
