date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-12-28,354,1669,418,54746845,337
2024-12-29,450,1612,431,56891423,417
2024-12-30,437,1556,401,55666995,407
2024-12-31,458,1442,415,57962778,354
2025-01-01,297,1480,405,57320676,275
2025-01-02,388,1508,420,56796558,354
2025-01-03,403,1490,410,54524259,387
2025-01-04,338,1306,347,43509218,330
2025-01-05,206,726,234,21925105,199
2025-01-06,103,435,136,11804046,100
2025-01-07,15,34,23,2857500,15
2025-01-08,35,116,50,4370590,33
2025-01-09,38,113,55,4935440,36
2025-01-10,181,825,267,23127371,177
2025-01-11,305,1314,357,45240086,293
2025-01-12,324,1071,328,38882538,318
2025-01-13,146,483,177,14961652,135
2025-01-14,130,430,176,13268613,121
2025-01-15,111,488,214,14658747,107
2025-01-16,111,533,239,16704338,109
2025-01-17,177,789,240,22933738,167
2025-01-18,288,1239,344,41359384,283
2025-01-19,179,645,228,18585504,173
2025-01-20,126,455,206,15604488,108
2025-01-21,129,430,171,13777170,115
2025-01-22,103,418,164,12624062,97
2025-01-23,115,426,203,13226427,113
2025-01-24,160,692,246,20043569,159
2025-01-25,272,1035,301,36573373,267
2025-01-26,168,776,262,22230097,162
2025-01-27,92,408,217,14251864,90
2025-01-28,110,565,233,17646934,104
2025-01-29,89,429,213,14519227,87
2025-01-30,119,462,221,13540170,109
2025-01-31,163,695,310,20934656,161
2025-02-01,220,1038,306,48008142,194
2025-02-02,133,658,285,17936709,127
2025-02-03,77,446,236,12327303,74
2025-02-04,74,344,125,12298943,67
2025-02-05,29,88,75,4068721,28
2025-02-06,29,141,98,3020805,28
2025-02-07,156,776,299,25273556,150
2025-02-08,248,861,252,30276477,237
2025-02-09,221,728,242,24270878,204
2025-02-10,145,555,165,15481943,139
2025-02-11,83,391,174,12667060,82
2025-02-12,84,394,163,10489350,75
2025-02-13,80,436,212,12110248,76
2025-02-14,142,513,212,15810925,138
2025-02-15,178,931,283,31744022,177
2025-02-16,143,711,221,22472615,135
2025-02-17,84,436,208,11411885,76
2025-02-18,63,452,204,11967522,61
2025-02-19,70,330,170,9187095,66
2025-02-20,63,366,211,10197470,62
2025-02-21,126,578,227,17550711,125
2025-02-22,324,1174,341,38032465,298
2025-02-23,215,882,283,32708530,211
2025-02-24,65,219,127,7173299,62
2025-02-25,81,393,222,11543439,66
2025-02-26,64,474,209,12369620,63
2025-02-27,74,457,200,10964989,72
2025-02-28,74,338,175,9444559,71
2025-03-01,101,481,186,19034353,100
2025-03-02,84,729,223,19674956,74
2025-03-03,46,352,159,9793465,42
2025-03-04,32,212,130,5493005,30
2025-03-05,48,213,135,6750855,43
2025-03-06,38,346,188,9416798,37
2025-03-07,90,365,225,10091541,87
2025-03-08,136,805,233,27542602,134
2025-03-09,62,269,177,8797410,60
2025-03-10,49,374,191,9090167,44
2025-03-11,24,133,101,4490680,23
2025-03-12,27,168,119,3440175,26
2025-03-13,30,252,152,7027900,29
2025-03-14,70,635,235,15931828,66
2025-03-15,142,630,232,20490405,139
2025-03-16,68,469,124,6752684,67
2025-03-17,37,229,153,6129760,35
2025-03-18,36,178,127,5046708,33
2025-03-19,91,320,154,9286890,89
2025-03-20,113,386,157,11715157,102
2025-03-21,84,295,124,9278803,79
2025-03-22,148,661,199,20244379,145
2025-03-23,62,279,133,6961547,59
2025-03-24,38,295,145,6185962,36
2025-03-25,60,304,112,6101706,56
2025-03-26,52,386,151,8221775,39
2025-03-27,66,274,122,6620325,60
2025-03-28,52,298,145,6104473,49
