date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-05-25,275,888,300,21263557,264
2025-05-26,212,519,206,13217744,192
2025-05-27,171,498,196,13681003,164
2025-05-28,158,636,193,14474123,154
2025-05-29,197,845,309,18220886,182
2025-05-30,290,1084,313,22643074,278
2025-05-31,311,1140,321,32398204,307
2025-06-01,178,563,196,14060426,174
2025-06-02,142,540,214,12404019,135
2025-06-03,114,415,184,10954872,111
2025-06-04,95,350,171,7754816,92
2025-06-05,108,492,116,9454905,98
2025-06-06,247,1073,313,24309091,242
2025-06-07,345,1106,360,30733539,343
2025-06-08,184,648,226,15896736,181
2025-06-09,114,449,194,11837197,108
2025-06-10,103,438,160,11143152,98
2025-06-11,96,516,140,9414963,90
2025-06-12,125,471,157,11937584,119
2025-06-13,225,844,288,22227095,216
2025-06-14,280,1225,344,35110189,275
2025-06-15,204,614,227,16066496,198
2025-06-16,119,451,193,9699170,115
2025-06-17,87,243,122,5756131,81
2025-06-18,107,440,160,10192924,99
2025-06-19,85,474,164,10347043,83
2025-06-20,215,745,249,17666448,199
2025-06-21,230,966,259,27780275,226
2025-06-22,133,874,234,20042021,130
2025-06-23,86,291,158,7111362,81
2025-06-24,58,209,121,5476208,55
2025-06-25,60,335,148,7578870,54
2025-06-26,94,299,142,7826218,89
2025-06-27,205,851,235,19763764,185
2025-06-28,236,953,271,25714975,228
2025-06-29,113,407,148,9685064,110
2025-06-30,54,161,104,3953924,52
2025-07-01,30,112,60,2811660,28
2025-07-02,45,197,114,5561177,45
2025-07-03,62,282,136,6754168,57
2025-07-04,147,502,159,11718003,132
2025-07-05,183,816,218,22275692,172
2025-07-06,74,555,146,11429913,70
2025-07-07,67,355,156,8956940,63
2025-07-08,23,135,88,3147696,23
2025-07-09,46,185,122,4899828,36
2025-07-10,42,151,97,3418601,40
2025-07-11,125,562,213,12403894,118
2025-07-12,162,670,208,18007977,156
2025-07-13,104,425,171,9388994,93
2025-07-14,59,213,118,4238551,52
2025-07-15,56,328,129,6667608,52
2025-07-16,54,287,131,6400873,44
2025-07-17,63,501,213,12463836,60
2025-07-18,114,436,164,9638902,110
2025-07-19,323,1141,291,33450239,269
2025-07-20,212,990,267,29341059,205
2025-07-21,134,458,156,11477248,113
2025-07-22,121,395,138,8417861,101
2025-07-23,74,336,128,7269806,67
2025-07-24,142,618,161,12674109,127
2025-07-25,206,678,211,16893428,160
2025-07-26,196,729,200,21121455,182
2025-07-27,165,631,187,15119886,156
2025-07-28,153,509,180,11458143,132
2025-07-29,105,549,187,12673359,96
2025-07-30,110,448,160,9919399,90
2025-07-31,127,460,160,9570711,113
2025-08-01,144,495,167,11819502,121
2025-08-02,142,610,192,17152157,135
2025-08-03,135,491,157,12252902,112
2025-08-04,139,478,155,11216362,111
2025-08-05,78,385,148,9163907,69
2025-08-06,109,327,125,8260346,88
2025-08-07,104,378,142,10135627,87
2025-08-08,118,489,186,13002621,106
2025-08-09,174,660,231,23305003,141
2025-08-10,179,800,253,30851608,154
2025-08-11,158,647,235,24103509,147
2025-08-12,129,536,202,21777441,115
2025-08-13,130,466,188,17385155,114
2025-08-14,120,480,182,17705427,105
2025-08-15,87,353,156,14999187,80
2025-08-16,78,352,161,12822225,76
2025-08-17,84,329,150,8477511,72
2025-08-18,137,440,155,10283264,110
2025-08-19,103,369,130,8771800,90
2025-08-20,76,341,127,7825103,68
2025-08-21,78,595,179,7589874,67
2025-08-22,88,424,122,11452208,80
2025-08-23,76,349,97,10292022,72
